target,experiment_dir,subdir,cache_interval,layer_depth,fid_score,condition_accuracy
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_4,2,4,296.489989556424,0.20350651443004608
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_15,5,15,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_11,1,11,124.91600383007346,0.35781165957450867
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_8,5,8,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_3,2,3,294.2596359339589,0.21201251447200775
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_6,2,6,299.44691005018166,0.19603532552719116
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_12,4,12,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_11,4,11,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_7,3,7,680.7263697702244,0.05770299211144447
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_2,4,2,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_8,4,8,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_14,3,14,680.5798606670988,0.05762571096420288
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_1,4,1,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_3,4,3,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_11,2,11,285.19917714723977,0.19938504695892334
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_15,4,15,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_9,2,9,286.6612977029752,0.20022031664848328
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_1,2,1,218.90567130903145,0.25507840514183044
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_8,3,8,680.574854142579,0.057620786130428314
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_9,3,9,680.5533584263763,0.057623691856861115
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_14,5,14,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_11,5,11,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_2,5,2,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_10,1,10,127.12802184558109,0.36738523840904236
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_5,3,5,680.3006876058748,0.05761260539293289
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_8,1,8,124.47710651103972,0.35901206731796265
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_4_layer_depth_6,4,6,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_3,3,3,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_4,3,4,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_10,3,10,680.4908465471187,0.05804651975631714
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_2,2,2,275.90792115526494,0.20610350370407104
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_7,2,7,187.62870230267504,0.936616837978363
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_9,1,9,157.60763013638052,0.5894838571548462
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_12,3,12,193.51657498686876,0.942017674446106
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_5,2,5,184.8105076981809,0.9318257570266724
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_9,5,9,201.98581656395066,0.9522664546966553
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_8,2,8,188.13533863941797,0.9392992854118347
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_7,5,7,202.06927038798253,0.9591696858406067
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_10,2,10,188.1848643223888,0.9376234412193298
