cache_interval,layer_depth,time_seconds,time_minutes
1,1,348,5.80
1,2,371,6.18
1,3,367,6.11
1,4,371,6.18
1,5,370,6.16
1,6,370,6.16
1,7,371,6.18
1,8,368,6.13
1,9,370,6.16
1,10,369,6.15
1,11,369,6.15
1,12,370,6.16
1,13,368,6.13
1,14,369,6.15
1,15,370,6.16
2,1,258,4.30
2,2,265,4.41
2,3,264,4.40
2,4,273,4.55
2,5,282,4.70
2,6,286,4.76
2,7,290,4.83
2,8,295,4.91
2,9,296,4.93
2,10,297,4.95
2,11,298,4.96
2,12,302,5.03
2,13,303,5.05
2,14,301,5.01
2,15,300,5.00
3,1,219,3.65
3,2,224,3.73
3,3,230,3.83
3,4,242,4.03
3,5,255,4.25
3,6,261,4.35
3,7,262,4.36
3,8,269,4.48
3,9,270,4.50
3,10,272,4.53
3,11,273,4.55
3,12,273,4.55
3,13,274,4.56
3,14,275,4.58
3,15,274,4.56
4,1,199,3.31
4,2,205,3.41
4,3,209,3.48
4,4,222,3.70
4,5,234,3.90
4,6,239,3.98
4,7,247,4.11
4,8,255,4.25
4,9,255,4.25
4,10,256,4.26
4,11,265,4.41
4,12,262,4.36
4,13,263,4.38
4,14,261,4.35
4,15,262,4.36
5,1,190,3.16
5,2,191,3.18
5,3,198,3.30
5,4,212,3.53
5,5,225,3.75
5,6,230,3.83
5,7,238,3.96
5,8,246,4.10
5,9,249,4.15
5,10,251,4.18
5,11,253,4.21
5,12,257,4.28
5,13,257,4.28
5,14,256,4.26
5,15,257,4.28
