cache_interval,layer_depth,time_seconds,time_minutes
1,1,400,6.66
1,2,457,7.61
1,3,462,7.70
1,4,460,7.66
1,5,461,7.68
1,6,459,7.65
1,7,459,7.65
1,8,462,7.70
1,9,460,7.66
1,10,461,7.68
1,11,462,7.70
1,12,460,7.66
1,13,460,7.66
1,14,458,7.63
1,15,462,7.70
2,1,313,5.21
2,2,324,5.40
2,3,326,5.43
2,4,338,5.63
2,5,348,5.80
2,6,353,5.88
2,7,361,6.01
2,8,364,6.06
2,9,367,6.11
2,10,365,6.08
2,11,369,6.15
2,12,371,6.18
2,13,374,6.23
2,14,375,6.25
2,15,373,6.21
3,1,267,4.45
3,2,275,4.58
3,3,279,4.65
3,4,294,4.90
3,5,303,5.05
3,6,311,5.18
3,7,320,5.33
3,8,327,5.45
3,9,329,5.48
3,10,332,5.53
3,11,338,5.63
3,12,335,5.58
3,13,342,5.70
3,14,338,5.63
3,15,338,5.63
4,1,239,3.98
4,2,246,4.10
4,3,255,4.25
4,4,271,4.51
4,5,285,4.75
4,6,294,4.90
4,7,306,5.10
4,8,318,5.30
4,9,321,5.35
4,10,327,5.45
4,11,329,5.48
4,12,330,5.50
4,13,336,5.60
4,14,330,5.50
4,15,319,5.31
5,1,209,3.48
5,2,212,3.53
5,3,220,3.66
5,4,236,3.93
5,5,250,4.16
5,6,258,4.30
5,7,271,4.51
5,8,275,4.58
5,9,281,4.68
5,10,284,4.73
5,11,287,4.78
5,12,287,4.78
5,13,288,4.80
5,14,287,4.78
5,15,287,4.78
